pH,Temperature,Rinse
7.04,20,1
Time,0.8,NaN
0,-2.71893,NaN
1,-1.90639,NaN
2,-1.71876,NaN
3,-1.4689,NaN
4,-1.2188,NaN
5,-1.05314,NaN
6,-0.990653,NaN
7,-0.921893,NaN
8,-0.88439,NaN
9,-0.84064,NaN
10,-0.800325,NaN
11,-0.769074,NaN
12,-0.741574,NaN
13,-0.716574,NaN
14,-0.694073,NaN
15,-0.674073,NaN
16,-0.655323,NaN
17,-0.638448,NaN
18,-0.622197,NaN
19,-0.607197,NaN
20,-0.593446,NaN
21,-0.580946,NaN
22,-0.569072,NaN
23,-0.557821,NaN
24,-0.547822,NaN
25,-0.537821,NaN
26,-0.528445,NaN
27,-0.518446,NaN
28,-0.510321,NaN
29,-0.501571,NaN
30,-0.492601,NaN
31,-0.485039,NaN
32,-0.477851,NaN
33,-0.471038,NaN
34,-0.464288,NaN
35,-0.457788,NaN
36,-0.451601,NaN
37,-0.445788,NaN
38,-0.440225,NaN
39,-0.434913,NaN
40,-0.429663,NaN
41,-0.424788,NaN
42,-0.419975,NaN
43,-0.415413,NaN
44,-0.410913,NaN
45,-0.406662,NaN
46,-0.402475,NaN
47,-0.398412,NaN
48,-0.394475,NaN
49,-0.390787,NaN
50,-0.387162,NaN
